,ANN_TRT,ETA_NUM,ETB_EXE_FIN,REG_ETA,SOC_RAI,STA_ETA,VAL_ETA
903,QBL,518711742,ppKq,YKwdJEaQOjPAqKHjdJGfeFpFe,tAgPeiSSeFBeAcgujnOWpEJX,OjU,FQIiOtS
904,iIrPW,745321930,axlvpwjC,lCeOgmKtzFpEbwaTSLzlsPNdiPgODEtMwCyruP,KAaGiAwAORNIbeSOreruJRWDjKpsCUhEBmFkqoXgwpfWBGg,Na,nvoflQOkCNKGBVKDFY
905,p,322630663,wdcTMnX,hkwxvNsVpAvzQlVwtQrK,mqYVETjZcWelkOmfbxlxtmUtmzGhQtCczskFPiqDwdTkgrJZDfBJcizes,xfm,umdV
906,DAk,437128039,,rfOJzAEqGrFDeNFZLAoRTXvGVIaNeGk,pWmjuweDgzMJXqixdSQpqeHDEXbIxqcI,,NUXCgFc
907,w,720033696,NkoCVJ,nPxcZJb,MLzBCDLcalqBULxnGZuFcfroLbQiEOIXVMipWCBPdtjTCOOGRnuGTRxUfsAcTFfpKqBLUtC,ccE,hUgV
908,gKRBBO,135077845,DyAjqoZ,ZNoIHJDulIQt,DlQxeIaaNqaBtFskDEpCEmZ,L,jLGQaKdqso
909,,451823484,vw,BqbPUCGixclqrFHzfRQdinhshdCoD,TpOqzbEmfJzcOTIKQWInAkbQOhcScsmYNnAHRmwi,,uok
910,YygzQS,763901974,k,yCxNzyWfMIMVtdYszCZh,GZKGZPfYMFemZOc,TK,hLaKoHa
911,eDIb,331284773,Ytc,nKVxdhgFWaCLZPxcSQPlYVFoFiJYQ,wjQbdBdAmwwdRFUimXRYgbpjZufOSTJWMHEqGVwzEkCtdQJxHWoMPVnluNMiFKjRaaIXglp,oMY,NUspYqmIEDsdWKY
912,,343429647,,kRmvGEKASejYoAfObgnBBHwqMPbtHyXsAzFd,COJvFYNcWNlfQHcFnhmBClBPAONMpBJUxCdHFKgHBpvaZGDyngNHHCPGypyBg,,uOhfXe
913,ovC,360510818,EpOsn,AssDUmmy,swwpwklhfkekqQydwKrcPAiFpCYOTbXrzlkmNJaPllAxe,Wyg,LL
914,hWC,909894712,ZOvoevR,tAYiyVorQpaBbxLoCgBirBlkaDRSsbpYANDSB,qiXboEgPBzwojcbZeZbCtdSSjauMFnpxKfCjLClFvHQsURW,ky,PElPjpHeeKfPyoGvU
915,YiVUmXQ,494604362,r,NKxMOVWHNkcrZSZlPiLxPRkxlf,khwQXsLhVBGfbTvssxTQqmVamToeLrrkmbGtOnXYlhxTHMojdqQMvFUV,B,BrcBUxPDBTWf
916,GrmCU,436218957,IHyymCOk,VNrUBbQbiGXQfXywLEkViQnqgkGp,QkOraKWAXXKVhDSTlhfEKmwVkfDerYfdfiNnNxqPEbIDYCkIkYsnOkTOKzQvGEdTZXsFTtJdo,c,DcqNF
917,VL,610274651,,aUVfzClU,NGgVCYtGjxAJyuGuo,Jx,GmG
918,C,941958015,CRaWl,dKOdHAiDwGhv,rEXFwMEKYVHBeeMMLNWgLhfBoeXncqohVseQhcEbfOmmqzIxIZMIAhHanP,Mcs,tHittbICtMpCqWpjrrHf
919,,741507632,aKn,AzMZVgaSEkFnRWD,neECVGYCeQFhoiYaOtsgueqyrAoJabnf,AOO,IWMPgkoJoZItifyw
920,R,238960663,qJWEeNJ,efXwCIucnhjdBBGHAfPammqLSc,kqsxqTSgHtnKOvyHlMpiSAzh,j,RLiPzPRfdfiCLh
921,q,218634206,jo,UmRyGhjOQGqlwXjKmnL,qumASiKwAGcSvdqSxTkOgIlTAqptUeMPhbMRitcJtvPTOGowXSsNcE,tzD,yMKYt
922,OXmQb,275632647,uD,eraDRxWQrXNUJoz,UszNlbANodjoGySFuClMESXvduXawzedInGgBLjszMkhzQfJGeRr,XC,e
923,gUsUfA,194904415,KWHcvNgm,TlDfotfxrImXzR,kgAEhNlNfGjAgnWBqOQDsBtgumNmmbTBOoxpkOrPtbbzqtuTLPZsWODADJpVeERwKaPCfOBKIvkZcNIl,PCq,yESNf
924,,939626067,SZWBR,PqnXLIrhVSnLKaMByQTQLVQqYQQWoA,JRzuukmEpRvFyvBTcLiCBuaosUtydyLuZAgclszauCmulePQEtQfuZyLJTAMyUWJhjmEjnEs,Q,USi
925,QwEPs,255565215,TXEM,ZUZlzBDNwWJBZ,EWHmFBBHKMepCgfxfbECWrQSolvWPquAdzpxiCmkJFWQNpqHgiKMoYNrObbIFpMEOjHEdcKBpUTdHfW,tkG,VTX
926,AYAru,468392242,C,vEQrAapFovDyRBPQzKOZsHjouJQZDJeewJgRI,BFCtxGQJPWqJafhnvgELqsLFVarglhzItUCCWs,PAE,X
927,zPtRQQn,455227681,,IVCEpYSbiYmeJSPoRjnqweEGCeI,izlMgLlafdKlRlKsCQWddeAzcjzZMjTqzpasWbFRsbBAirPzhUlazRzhwpWNIeXmkJGqhgMuhaioJb,SF,rYXovUtrcCN
928,INZs,762256177,aVzvhIMB,bynqbUcpeuYjloPSEDntK,iqmUgDJmpnALxXnMUKXEFVqiyOXvZiESPFxGqrrlFlRwhhZOUqbRwDHbbISURHsaByTnVZZrkafkqkko,Mn,DLS
929,TnK,747671711,DXD,SVkRzZKX,NZKuqhbuWweOg,FVc,ghooWEbpqR
930,SJFMEx,746342610,AjYB,uUDlDuNrefQVhSrOpgRgFZyJKOgCdmgW,JLPbOWxkeHRlvAvQujuVRhagdacgYqrKapZoGIX,B,RnyCavGvZGwKAXpgiqq
931,AuQLd,379017934,,DtvBAYJMWuiX,daKaVEJYwZUNthYtZqtGUkuAHkbkbTHndhOTMnUWTnSeubocHyhbzRRGXkXjOEIFC,,w
932,yjbc,444865999,G,DEonqUsVuloGVUtFUflgHtcjuUTD,uiEbVUfVOSmRnGjMLbrhkTKOjpxGOvEeeOWMZZqggTUeszEzFYrxKXgtUjaPvyEDDtLpLGsycoEDsiop,HwL,IWrqixSCo
933,i,925179730,JEFm,xwDSGPMHcTobdpbCinbKXUWSfi,fLottilueLsyQzHeQUxnwKPvODStMEhHcdxYzV,po,vjocHzYYYQuoKhrNqiV
934,FDVehM,228470470,EiF,euJiu,sTPDaNudJUTEm,YTS,TErvrybUVdQkps
935,GuQNfVs,654443576,,YXpSqdTtLWGmzpCyqzCSooIWlwvLIK,ZSqNubHOiBxMyGidFBrdQEXeHEZdRwGGDEhMDVcvWfMamGxg,J,ZZlcDDDjYyNEQh
936,LlEeGas,316590687,,rftphSIOKWBPqyknZyUbQBOMQZQpojrIOPI,fIZUkF,,TjAKosopf
937,vDBU,943546179,zQyfPc,gRgmFiBkYqQuODrTkTIblWZpCQjEkywzGRJUDg,VHEBPsIIjcUSusOeVFHHYvrXYyLAscsTYOtSZGBIwDIWvUucHVkRmGuNdanSZmrEIqHqotRXuRbzX,yF,MybgeVAadNJhzJoG
938,TpNKhPb,431606520,O,vAOfslgtbfYRteLbIviUBhRcnZxvahmbzQGgdWQ,ZjBMEPhwzvNXnqQkRPiDJGzBaSBidGnUprFkNsqLFoZujGSNSwNAcWwtitQTfwAKDEMNuj,NSI,IMREVyYLAEBKJsyKW
939,,918845247,rtEjOa,HvudhTnsMgxyN,,AMY,kUpVcFICRMw
940,YdsDYAD,641690890,qkdhIsI,wdEPbfVoxqNGSbY,fgCDfpxwefhQhmmSgxJYjjHwligQtdJenqqAFiFcbkQh,v,cvrQSjopPLKYXvM
941,sKMVDd,430943766,gpqTzt,stCWtzOqOyWvnRESOCUiNaRbguujbVHGpMd,taehYrULGoDTMJDKEL,,u
942,FHgJE,737277568,AHrX,qXzyeRmQyZrMQILxIFCjlzBAaySNfuCMfZ,FDvZkLQnrzvTFzDwBm,w,bAiuOalrHSTMhCTqezv
943,VOW,975741923,vvJdh,yWeLmQoylBMbwttkYSBYBhIIioHiKipctMb,llLqQfzpVL,,IjRXggIhbDVHYPlLpj
944,ZxVI,174232890,zjmF,qhkuSVkhZGyNf,ABLgtvxkjpRsbkZsDgmveGBJIexcvoW,Hm,IRiRXGAyqhxUMfSva
945,UhLSzXU,690853347,NKsCsK,MxTlIKTXkSwwQxoJJXECoSfHEh,FaoNYYPQaerdXDKNmaCLgdiiQqWbaXUYgPVlaCWQwUIfNGNDdNYGlygMSrWBkpql,,FxGOMLoT
946,CmIIQs,356317570,,pLmXpjJTFwhncoIQaKDYoryaycWJQScsm,CpFXcutAobnMlOLtLtwcGSxRJeBXyTzojLqCaZtYMt,A,aOlwrbp
947,v,411088658,FNPbYIy,utJMALHNbZAacboUUTaCwhEHqGLgJYydXAYGNg,pAYLvMDLwvSJJYpyCjNgLypDlaHYTCGOohjtcx,T,ugMpbrOxumYPT
948,dplgS,637720746,cqmzm,hEZNX,RZfBKedomnVrAWoHcHHdyMXWlbgugMzapsPnVGNqIkoJNhuKCSgYyKdYPEQTjrcZdgGvsRWvV,um,PiJOGHSdkGizuYEIGNht
949,bEWkaX,210962107,qDFXie,WsuKBMzKwsPADqxHjzftvxBAZYonPvVLfdnIJ,iMEerUBsOmlNgadAGVOYuPQevupjgqxHfnHHrrJZwdjWGkREt,,XhGmkHebAQlHQaBWoFkb
950,Rnch,150825214,xXDCp,fRdVHwRefMKYmmcIsWNw,DofSlKPnMPDDtfJCspoYjWgk,,pKkLiWUIXPj
951,SoeD,716473445,VTiC,hr,gPWdnWbGXzPyvkveSvYsE,MKS,nxzEZvii
952,ZMrEzD,687460606,RVfj,ZUATEPPdcogkscfFmKexJcjjC,rOtQccWDFXtEEQttZJlkDCEc,Z,gaYMLYmhBk
953,NUXlTc,994802366,DcAWAVn,MDil,XwKHssTusKzaehxbCxBCmRWITSkX,CmA,dLUxwoEheCwcSFLM
954,zJ,972587810,LHk,aHuBfOYNxHOD,ySpTXLxTqiqlKsxvXLL,am,hMUFSOkfcgszCEXFZRqw
955,JtWJMF,107702504,F,tEYcDKPrFZzp,nRsrlMhDvpdUILiEGnOjwtAMKFcvUDiIswMuPyZNBOLREsorIMhokBUVqAyuouceMAwcfaWAXVzNpPs,,uEpCayXLLSeM
956,CvsfNCF,892728309,wypeuUwp,YzkPuLjxJLlr,iKdpuLReJsKACkKmiGTlbUcbkiGYpBIuuKblIOOyeLEKdGMOmpMTuwJmtLjNYXEFljwede,Si,esrYlcBWv
957,XNAkV,267502485,FMDXy,NtOFA,fWaRTzQquTkfUBPsTguIblEqLwIDdkNwfvWqtZgIqgVNQOULwgNQqIpZxVpizkTcH,fIW,fwpAUDnHzuQ
958,Flw,677475995,stGEKn,UeiezBgKgBiYNlCRMCte,hQRpCrNeYwaNHZDlqqwKzsChfkjqSGHOygxrjjajBeEnBbSXTOcN,INP,bHPEGsQpddNcY
959,Fxl,554341378,U,HaVVfbd,dkSiNHvGzyzBIoZtqXQiJMbLqOjLQ,JzO,ZOVfmPMZploI
960,HqMTr,603638493,xszz,B,LsusUdhgRBTJnFMoXCEqMOsoSzyHtvRCpDaAiiSEcsFfFuauGjKmGLb,eKq,bkYilqserMNSJfZWS
961,qOmETG,519059404,yp,CnsotLsLLfebRJIUmkjtmJEY,cQegLBVmNYgRPbwnoswumZMePMzRuRP,D,xoWm
962,niqdkpH,690427919,a,cEUKmNLTckrLihnJ,CgKR,Q,dzffsRylNEgZzg
963,ELwnn,527788861,,iTibryzSYU,hybnCgtsuZDmb,u,uofYEDjnZZwxxkWe
964,tNJM,889657030,SQdDsR,HNOnDQprpjnvZVQYeVnihYf,exAoMfvNHRGpdErdxthwlywiWgfZvXazeVChcgFYABhCRjAEjpVTfghUQFpHl,Fz,qLzOR
965,dWWG,204896938,,ydhNQaLdYmKyoWRSHioUqbbBNM,ZL,fV,MqpJCQOJKPNYaaoGmJ
966,Dsj,910031032,w,HPwGmMmBmWkjWhZmyeaFxpdINUqmvZIcR,ePAXiEymNCcsgDJgtPAFIeCZRCGsJURnvMrSUbXAoLOVGPzyTwJtzaEq,OXs,kobNNU
967,h,894573828,Zj,WWRJrjtegnzjGYAtemDYcSDARadnTLXJNAagWY,cqmgbXgGsPeryZGPvQFTkUdxvGekEHLuxbggUvIeIsmLD,IbN,OuwfZsZGooNPX
968,kGvmle,734038260,UNpVIsIe,FfRWQzKlXs,xuBJLexbpzYYpmqIkbXTlDuKabmRIIFfPpXcPwvFoNCwcCXdtKqsZPYoXIDzYoVxcGNId,nk,mIcEPRkB
969,yxBNWj,708615775,,XsiejzVkAPVotYtwnrr,XGitKAjDyLEIzgPrpMIeoLEQbfgJuIuynHVXgRoHXIzW,k,wQ
970,otn,494129123,q,TAgXTyEwiboxvMXmgrgECAXfbQbTbulWJwPyUvA,KHGEqsDUHnlFjrRmIBFdJvGcAXnjTfdMYCyzgGyHNIdgY,,ZgAbxIX
971,afL,708008577,yVp,DgkFXpNNQFsocKGy,VWZrNJMjwRFltJIcNGgMAhKFtCImPlrFIhxcTpS,,i
972,JL,613185444,cbEZPn,VyWikH,BZSKEAceGGKBIrushQYjXhoPAHyqCSOnnlMoKjMgBMDHhwLum,S,SNTRx
973,aLrpl,135259321,,FqvHMhysNRQHGYAORSGrIYFrNKIHxPCFd,uAldwAkVuEpCaMqjQLaV,oG,
974,dygVIn,258682929,yIaQFKK,pngUQJgjKyPYrutzCZqmoiJy,KjLqxddStaLPjCyreqJMqeopEpGNqUMcbhUxMLXDDdccVOrDyTQasnXUdcCAtDs,x,UI
975,RUiTfdW,712565496,agbs,fLWwtymQQMsiiKuMKVPeWYIioeBTovkZvYgI,cSYJeWwHJXFpUBpXcBpiLIlMJbXiwWCXNJxbpjtIxAF,P,hC
976,xLD,487522491,,ixmF,vQnrlxwdmPJFucIJkMEZuoeEqcgDTzzEGYCZwyWmrCqktRqaDDPYneeZXWjXbbpu,m,YoJBpqI
977,AGHWuI,190321849,ethdqms,fZPstvpBrmcvlQWdehdWeXhw,tAnrWtVKizwyAsAporOxSnOqUesTcFBgJgWsWPLxiBQjdySLbchMJ,zM,VpuUzfQRYeMyfT
978,,349452266,xCiLLnQL,LkfJcEBX,LVDuzqIAThTkBLrfzVAarqHRVNXrhZwSmxTcRowfikTBCjMwgplKwswbzRVyflhbQfBcms,c,zBPdpzIrSN
979,yPO,150383320,SYVgX,XmbAJdGMXC,DdVLADiGcBvPLrVgxiReaafEYZVNhmbpzgiTpOiEmdlxVuziblYYuREzlj,NDX,tZyJhCzCvelMRDcu
980,OfFCaQ,822384874,LnPRU,dODaZlpbSYamibSMQghTnw,ZESpBcYbLwcxHLZzPLPzIczqVtcYjofHTwfMxNJ,,IegeEmDWeoFpiEnEY
981,ww,111652327,,aeJtzVopmWLBKuj,KWmfUAwzpuNBaiFQCVlKKKYicgTiRCSffvAgxTLVILETRAwKiNqOMFdLKTvnmstAUHsqYlgdqYmyTrow,l,HehgtgVdmfMoIq
982,c,781180694,hqiOTBd,OUGiXIKziNiZknPRGqukfqHIsCxKrbW,otRZMFUCUAIALvJ,IME,NufIONtEDPC
983,ANJPt,863043503,Y,DBfiazbtPXsrNhASmWW,bAeaaoOHhoNnitcCFjMaJxMLwaswQynPxgwM,y,GKHjzU
984,dO,572961516,a,FTdChatQbtUfESnSS,lNNvNzpuFnRIEOanYBZWaBVIeWTNBGocRvHLCoAfpNCE,,O
985,YLW,745920452,O,gQKSXUriosyUOjcfBVmq,aPbodviPFcKFHnglbejhfGAuXwoGOPdmMpHLqxEYShsiWXnoQbnjMQXtGTIVfFYAdx,zCO,LIKaMWid
986,NeihZ,338318503,ZzgJ,YorjmCo,AZiGZHdn,Lh,XOcwTRsv
987,e,786756937,LesgA,RLwdZiPHCamFXCA,UMLaifoPqcWKUQDkVCKPjepamSjYJnUPALJlVMvSBsYQhnUXXsmHKrcPFbA,,
988,W,876514917,,cEiAMkZpxZOVokaIF,IiuZkLUztxSOfPGksWWJjlVhjjwYQfsLtqUVzFHguFWFWWeAuZxgQlqktVdhXid,,
989,PbYJZVk,389115400,bwYMMWV,erR,axVPeubbtocSvktaKZR,Qg,tuIGrHhAnilEoUJ
990,ZoUS,286255377,tMe,DcvnsTF,mZEXmxIwtyEwNdLsKwe,,hCvFuTaMSq
991,AD,518463925,DxrCTwLu,SUmWGBxYeeNobQdwBaHFCGBqoTwZywVNrzYkBkt,Ovaw,,iaYIhRhJG
992,uXAJFdh,533431633,QH,PPaOZuwXYwuG,AtNbuHYzjGmiCKJuAJtIqRDazAzzzi,It,
993,,930284983,ytbAKeS,ePdhoNIcIfMhFOUBIiftVSMN,JyPVcuSerlTylSFfPDUNWXnTkWahApDByjvdTtgp,yah,kGZKhOEvqDQb
994,,876157567,FQoKdDg,n,jgKPMIQXEydbZdVsUGdzKzILicCkjjAMiXMhfgRKaQyUqDweH,,a
995,uv,383263530,qBICNye,iGhkpiAwBaNBp,SQJNDoBelvRLVCRfamYiYWWzDGdwZpoXWOAHAaaueUrSMSGdJlNRyhHBVNpiEXiGEhTWo,QDL,lcDsRLJgGWvxlssoJtqb
996,cRADYdi,442860611,JdJFsB,ltIPgLNaVqA,dWjIuMHdNjtQszFFPFXuRUQDPqOQcmWIoInhNvsHckkocNfJkrGVtisetHoMDE,JZt,xgphctlKRyznWEvOz
997,pNwVVaf,946176664,scWcLCIQ,QIemWaHJNTGjzuweBURsQVXI,FRyZhhfjYDBIcyvmNxIvCOncUIPEOB,,ZJMV
998,t,706550168,Hv,XDKlYVlSErhIxCLwbtOGmzjgJ,chkGkBIHsInunCChGJfZLawUTUCZDVREHnwCBsSgNwNcHYPJORmolqv,A,
999,I,279053889,vjqK,rWWrVHGjPLCWLItyzXqtneMEMafVenjPipb,EeVxZGfXpAwbbWmxwyv,,U
1000,S,962875747,w,cDyqlQyZPYJdmowpJH,ZrXOYVUIhQyUsDPFKjeHGBhkpWPPKCikfFfMpOepNVzmjkLsyoGwOyaZnoHe,l,BnkLrerKsCt
1001,Hi,822249032,he,UWKdQXnkoiHCWmmzSlgnq,FwzbtzzLcBLeaMXOncbnmhYggZgMjYQaoNZWqlUvxIoHxteJIczdiRTZDuPoFsWdssJEmaP,Pm,nGQfuEieXWCOXpdeW
1002,AlhLv,414628702,vSPEaEbU,XwHeaYFPQQsDWvKSnnunyWTCQHY,gbrjtboVNeFayzipTFuQVZKGECoReEsMIJIpnxDhFshWjaqpFCSrGZcDsRSAPr,TTU,VZAUbCfPAxOzjQW
1003,R,188273384,o,PfWQOUSgEamTJbKLcyQHnahGSYfeuXzZFdKubn,Cn,khY,f
1004,FnLh,634610292,jQ,H,RgxmvkDyFyQhYvygxistFByYwmQQjqJKhAjfizRyUWY,,nntheHrhcjxEkvG
1005,mS,568640951,pst,NoJAQpQlTWchkAhg,roQmYrUESoQQYJmGIaAWKTYQlGHNcKOcabhelAUQPZiM,UM,CQAQtMMlf
1006,vrjoUt,557318661,hcrHH,TiAZBlqfUjXVdhWwulAB,MvKnhjVjTGdxgQAOVdOvpHGQwpHBbMeiISVrzpFRoSIrrNxOfACybFnauyEVMgaOHbQURfP,,XfiHOGy
1007,OAHwSA,688370033,jP,thYgWTxIUiAtzvkPZzQWQLVHUAMKrarJFl,kGbEFJjstDYFLdyWthRaxmyLGBKFpYSBtnQCfkbPTa,p,RsEFWxGEpFppwMwNwAFG
1008,OFPO,516333880,um,miOllLpFP,AMfoQMvBZnEbFEyXuaZMiwMlrFxVbZwlyxYPiyKieuw,Nr,ggJWxAbtP
1009,LfHZ,923299174,wOGli,CMzv,acskVDRaRSoiqAlXhsjrBxvqaLijpdweyxLoP,eaL,xLAXmqXQKPmZiKzWwyj
1010,CHtLoFf,302852569,UlGaj,qWLMclAKDAVrlPjhUSngmRfyhpnsuthUseEQPA,gPiuDwtiKmWObaEkrOrkCOtYlPQYTWCfHVzMXHPZxcsPRvorJsITULL,v,FuUi
1011,pyOJ,763955960,qIftqObQ,F,NwcXYwqjheAv,Bsy,POzpiUES
1012,TYbN,647636673,wPl,vTB,KdLpcjzWwxQbhRGuvekYgkCUnJqXhNdRaRpRfcxdqFQoiurYniRYIXzamfqGaJkaUSUcpSv,g,
1013,,686583231,,pZ,rtSoRjoOIFSawsHFfTvNNTVgTcQbslhIikImVeLiMlppXdZNm,A,sjwsTAENGbUf
1014,TAq,172345202,JTN,fTbRoH,prRNHPvOj,zF,MHKVGncFqIugWSAdpe
1015,Y,971569786,X,kcflyhAZRqnzyDtgBKUWaIPGMJqWKHodvpMMwHxe,AbLNiPgQFYGRR,Uc,XYcTjazXkwUTJxasT
1016,dMJQv,721272917,NT,ihpyYFGPQRIsYgCGOW,hzRIikAeerdGxQYAsiWlsgqFNzvoGhIfNVzhFRzxBwPAvPPNfdxndQycHpNQi,b,LRk
1017,EaEE,986528128,pjaqQlDM,RMCduznXndoiRuwxFvbKVBYJFAgzMvvN,bUpEFz,,KVUFNBtBsY
1018,iPm,170239493,fbzLHXT,ZBvgZBOImybpm,rGXTgOvpGBARQmYhYxFNGEZmOfzHWkeZNKcrpsnfzJWUuOyezwjpGnEucyDbcYBLFJUZfbss,oz,SiHXuQUBjBYFCDGMzPn
1019,fJz,118202320,QCLFo,zAPLzWDTzYVpNMWRIRZMWrvZLmVZWTtAGCUTW,AtXw,,agLBP
1020,,750847527,,qxJizAzpN,xqcmnFgVVHpaKvJTxmvNDtpoRaGrmWcmCrp,ea,IWTo
1021,Uw,939901976,CqR,JqDdyfFqNdaHqPpyQnY,UnvMNPCxiAZrOXCOiboxwJXfGOFlXqJzynrWOBhcdXIlFlbifquWpouWvpaLdhqlGQnVkz,EWO,dVNNOuskrSJcClzciHfy
1022,xb,990559346,YBY,qURUVPXhrSpsmxAcjGuy,dpbpHwNEFlzBWRdTWjgNeTTnKhbwvTCniqoicgDYlQMXaWigMBheebsjfWVXIlIcB,Vy,SRnv
1023,rlGwIa,938343887,DKcOaVqK,FPigZHhVOTkZeMJIDpzOWdf,ryJhSvNzVNkaBCwDAScTxdXRZrLiVmbihogEqGtdSLDTJCABhQGLPhYpMAOICdWisqs,co,CojHvVSwhOqwcS
1024,uacWNYz,981654384,lIwmdI,ZdoIwEkHXtrGvjAlUOr,PptSIvtaPmhhVzEDQsPdKXPmAYAJ,x,
1025,G,831616615,yd,lRiacErecSQKlNDHadWoPWIRLhUZlX,WQxNaGitxUTLBfrQENkQifXXeqeGREsKEshdNYkHHVZxMeTTppkRMCYkEYrLWEnQnnCAzxMkbU,VfM,CYCEMfuOqQkjLrgzX
1026,AG,491834797,OTJZriaA,IXtseJIcfZZHAMBzfnGWRuhGORGcCBxi,zAzZ,pKX,kwyUwjyAauN
1027,Oj,899494413,,,uJtTCQBexCWcauOzaRZUzpFVisnMzMnarSDHyPDkphBOxmDGjYelQklrO,mlQ,SzkcvjvmWAamo
1028,RdwM,355146445,Fkvgv,PGZVuQcyvjEsdmKrRqdCrixw,uhZaDCmiieWkSnd,,hIFdqxmZXdBzyr
1029,r,462532292,,IifycQPnvL,OStYDBCYMvQNPDbRR,,lELHLcUfbXzOlyEFKwL
1030,BJIM,716884011,,ZlAzQNqoBLsWFvJtJGXYnWAupMNnmXYOLkxb,rVPpDeLJZkRfoFZHVQWmghaNzIOwMVkFcEeoEyysEAnjAmPGNeuFLnXMyeLndCKmZaTddpAtskCv,DOM,kwZPwBPmNET
1031,Ij,691094946,H,ILxRraqMwelKOLKqCLeTXUHebPiszhDbva,DJAxCCWbgISzRkaZsrCImCjPwNHlMpqAjhQXbpliNPWiZvXTjlTHmIOI,,MgvLSklfGyArZKoUh
1032,gciAgD,645646364,YuI,UgkTWwbZaDNuVinNCmLXpSO,ohVLtcpDxtGGeDyRQQIMefCylHksKVldHfcbLqT,y,SJUeQCMoCffOZCtwxW
1033,kj,975089099,vLt,cqrJrJBLIhVWyaeaBVMX,bTGTuFvEZNrTBVNKDemdTnqHhcdiOfJ,cVK,pNIxcEFrCviPyZew
1034,TwHFIE,257348220,aMP,bAhXSprhoaq,vutLvMJRvScjSiFLUCpLiQAaFjDLGYowTBnROjXFvhSKwCdtzcCUDdjEZ,R,RUAhSovPwcxrfRudKBIs
1035,ccC,294795247,g,KiwudjfMtp,eViftHQYlJycpVmSSVdbpQHaIjKdatawPVHN,Juc,QntITpbNgAEevkaEf
1036,,253458173,G,ptjCIGBKQKZzYjEeITVcYtQdlPgmbMTHWPXu,GflQnMZYZeLfZLlBEQwYtCicvEcgYlrgLaexisYmfuVOjcbQbTJGkyGenXLXCgiWWeGB,o,ypVkTeOEHacBMt
1037,nFmiH,979836581,H,YEFIoHLmFtpggZQTU,mzqgrmXztKIlEaDqnxZbEsLMbyze,kw,ImXsea
1038,GdwvBr,394481772,hLBQr,,JcJnHEEBWNWMhTslLlLaOETIozDKdrfuHJhXHDdtpOhBTBcjSHdJSarDsis,Tdk,DvwpdHktaHNiLeSgbxx
1039,EPctC,755208494,brlaLxq,cdcvdRxmkMWSoOwiCtZNEcTf,qOxTnJmIYefxEkGvkwvJgdzKzyoHEddHDNQHJbsZUsqOvLmjCIOsCNuoALiZ,,TwsGk
1040,,881553655,Qun,PQXpiFJwIJLIynIVHD,XTpqMuPzhpEplGbHvoKIkL,Al,DHslhahtcBdLW
1041,xjMVtEi,840822412,SfI,ANpMEXWjufaExqSanXFGgfBVqdPRvd,roJrNlHKJ,jZ,O
1042,p,523425021,ioTLrjw,dCYXSotP,IjcEXZITBxAJLxsFWOpxoZqEWHfpvRKaOaNVOfJKmsfX,b,qdGmvZavjZ
1043,b,746060075,KeLZ,,hEuTvBsPjWpbBzAZ,Kce,QhvPXMyFiZyEloH
1044,DHZ,785937694,RLzBHV,tseCKjhENFoCZVXsRQXUIAoSmqwWUjNVWOWqosAO,SdlUSidSjCuCUkcYUoIPEpzlBzHGgpvOltQxCktvEqhzEHTQBiT,uWU,guKDnvVW
1045,rRb,297519085,ZHyRDVr,sXLOhNramWyNbzpvJvi,CFK,lx,tlDl
1046,aw,217788039,SbfO,wXqxpdOzzvNoWYJhxtmaxeoFfwC,nhhVv,ZJ,jllQgK
1047,kgS,921595966,ASD,QuMdziJuoeosqVxynHYLEdkuLrOFzUEFvILPOutH,JFHyFNgKJEpeUJbmDSGFhfmOQAOvSlbkmHdYVLJZwBaIooQRv,RpM,PTArvfIlbxR
1048,MPXFI,855830429,sOacFXQ,yLGYIRhplfUipbIzdYgcvPxf,dmEenYiTNasdGtpKdnmYGtrvWPyfsWuVxjzmooaWTmrBLwdOhQGJSLzUZlwkOHyqauKKLNpUPzh,,NCvHhKmOY
1049,j,711735485,bnZxmB,TpUCtovObbpmgdcBNhhvSMPsRMWPVzSMVtiO,jhOuWLXHvwWWMGqNZSrOVmxqmJegeDQvlacZNX,,DRAewnjniCci
1050,CBQ,983050087,Xj,ibPhxUXwIan,tKpvAlBrGrvbyKiKXoXhSxwUoNNFmrYSssCLzwiJjoRXib,G,TQZmRLxBvXEFitfZ
1051,ipByE,112495358,yoBBlEu,xN,sRJOklTauSq,x,
1052,,488697346,zikz,iPavzHRdhQXWABxavzSedEP,UqvQLMVsUjyARZXodqnejHFelshyBNoetHYHipSuTjnYpsQCmeGUFJVwUZgChlTBzSHzEIKPr,Sb,vX
1053,DH,662555516,yHpR,SFtLcknlHhbXVLdgUELyaMTjYe,JJMqmGIBtQkRciGkhWObXtXQmQUasPND,,YZyyn
1054,fb,750975543,,bTdgNEPjsoAykuFwAeEmwyzVDwImWtiLxAh,jdEACQbFqzgMdKkjSKMzLLhIBKFFouiflLUzQlHhwAjOJ,,FanXqbFCjagTL
1055,r,501789255,dZAoMHhE,lHxZNavJemTXBgJQoAbyPh,VUhMKConYokQZAVLBtmRAhnXpRTcsnEItfqwEbXwTCUK,,qkAFchh
1056,xafhRGJ,506596258,flWWsypX,dVbBmMaEYhZqboOchKUJILGlhTNYrEYX,fBpEzCIKXgrhlYucfXqiMzbxKFRetcXXTOkG,qjm,sNcNG
